Image Path;Caption;adjusted Caption
images/56.jpg;a mirror reflecting a reflection of a bathroom     ;a mirror reflecting the image of a bathroom;mirror
images/57.jpg;a kitchen with a table and a window               ;a kitchen with a window and a table;window
images/58.jpg;a kitchen with a table and chairs and a refrigerator;a kitchen with a refrigerator, table, and chairs;table
images/59.jpg;a kitchen with a stove, sink, and cabinets         ;a kitchen with cabinets, sink, and stove;cabinets
images/62.jpg;a kitchen with a table and chairs and a refrigerator;a kitchen with a refrigerator, table, and chairs;refrigerator
images/65.jpg;a mirror reflecting a large room with a large window;a mirror reflecting a spacious room with a sizable window;mirror
images/66.jpg;a kitchen with a stove, sink, and cabinets         ;a kitchen with cabinets, sink, and stove;stove
images/67.jpg;a room with a wooden floor and a wooden door      ;a room with a wooden door and floor;door
images/68.jpg;a room with a table and a door                    ;a room with a door and a table;table
images/69.jpg;a kitchen with a stove, microwave, and oven       ;a kitchen with an oven, microwave, and stove;microwave
images/73.jpg;a kitchen with a refrigerator, sink, and a table  ;a kitchen with a table, sink, and refrigerator;table
images/75.jpg;a kitchen with a stove, sink, and refrigerator    ;a kitchen with a refrigerator, sink, and stove;sink
images/77.jpg;a kitchen with a refrigerator, stove, sink and a microwave;a kitchen with a microwave, refrigerator, sink, and stove;microwave
images/78.jpg;a room with a large window and a wooden floor     ;a room with a wooden floor and a large window;window
images/79.jpg;a kitchen with a refrigerator, stove, sink and a table;a kitchen with a table, sink, refrigerator, and stove;stove
images/80.jpg;a painting of a man with a black beard           ;a painting featuring a man with a black beard;painting
images/81.jpg;a room with a door open and a wall with a floor   ;a room with an open door and a floor;open door
images/82.jpg;a room with a door open and a wall with a window  ;a room with an open door and a windowed wall;window
images/84.jpg;a kitchen with a stove, sink, and refrigerator    ;a kitchen with a refrigerator, sink, and stove;refrigerator
images/85.jpg;a room with a wooden floor and a wall with a door  ;a room with a door and a wooden floor;door
images/87.jpg;a kitchen with a stove, sink, and refrigerator    ;a kitchen with a refrigerator, sink, and stove;sink
images/88.jpg;a room with a large window and a large wooden table;a room with a sizable window and a large wooden table;table
images/89.jpg;a kitchen with a large window and a large sink    ;a kitchen with a large sink and window;window
images/90.jpg;a room with a door open and a wooden floor        ;a room with an open door and a wooden floor;open door
images/91.jpg;a room with a window and a wall with a white wall  ;a room with a white wall and a window;window
images/92.jpg;a kitchen with a refrigerator, stove, sink and a table;a kitchen with a table, sink, refrigerator, and stove;sink
images/94.jpg;a kitchen with a refrigerator, stove, sink and a microwave;a kitchen with a microwave, sink, stove, and refrigerator;microwave
images/95.jpg;a kitchen with a white floor and a black counter top;a kitchen with a black counter and white floor;counter
images/96.jpg;a room with a door open and a wooden floor        ;a room with an open door and a wooden floor;open door
images/97.jpg;a door is open to a room with a wooden floor     ;a door leading to a room with a wooden floor;open door
images/98.jpg;a bathroom with a shower curtain and a glass door ;a bathroom with a glass door and a curtain for the shower;shower
images/100.jpg;a room with a wooden floor and a wall with a shelf;a room with a wooden floor and a wall featuring a shelf;shelf
images/101.jpg;a room with a door open and a floor              ;a room with an open door and a floor;open door
images/102.jpg;a door is open to a room with a wooden floor     ;a door leading to a room with a wooden floor;door
images/104.jpg;a kitchen with a sink, stove, and refrigerator   ;a kitchen with a refrigerator, stove, and sink;refrigerator
images/105.jpg;a room with a bed, a desk and a door             ;a room with a door, a desk, and a bed;desk
images/107.jpg;a kitchen with a stove top oven and a sink       ;a kitchen with a sink and a stove-top oven;oven
images/109.jpg;a kitchen with a refrigerator, stove, sink and a microwave;a kitchen with a microwave, sink, refrigerator, and stove;sink
images/110.jpg;a door is open to a room with a wooden floor     ;a door leading to a room with a wooden floor;open door
images/111.jpg;a kitchen with a large window and a large counter top;a kitchen with a large counter and window;counter
images/112.jpg;a kitchen with a refrigerator, stove, sink and a table;a kitchen with a table, sink, refrigerator, and stove;refrigerator
images/113.jpg;a kitchen with a sink, stove, and cabinets        ;a kitchen with cabinets, sink, and stove;cabinets
images/114.jpg;a kitchen with a sink, stove, and refrigerator    ;a kitchen with a refrigerator, sink, and stove;sink
images/115.jpg;a kitchen with a refrigerator, stove, sink and a refrigerator;a kitchen with a refrigerator, stove, sink, and another refrigerator;refrigerator
images/116.jpg;a kitchen with a stove, refrigerator, sink and a microwave;a kitchen with a microwave, sink, stove, and refrigerator;microwave
images/117.jpg;a wooden bench with a white and black striped blanket;a wooden bench adorned with a striped white and black blanket;blanket
images/119.jpg;a kitchen with a stove, microwave, and oven      ;a kitchen equipped with an oven, microwave, and stove;oven
images/120.jpg;a kitchen with a sink, stove, and cabinets        ;a kitchen with cabinets, sink, and stove;stove
images/121.jpg;a room with a window and a wall with a rug        ;a room with a rug and a window;rug
images/122.jpg;a living room with a fireplace and a table      ;a living room with a table and a fireplace;fireplace
images/123.jpg;a large window with a view of a city             ;a window offering a city view;window
images/124.jpg;a kitchen with a white refrigerator and a white sink;a kitchen with a white sink and refrigerator;sink
images/125.jpg;a kitchen with a sink, a counter, and a window    ;a kitchen with a window, counter, and sink;counter
images/126.jpg;a wooden door with a wooden frame                ;a wooden door framed with wood;door
images/128.jpg;a kitchen with a sink, stove, refrigerator and a dishwasher;a kitchen with a dishwasher, sink, refrigerator, and stove;dishwasher
images/129.jpg;a door is open to a room with a window           ;a door leading to a room with a window;open door
images/130.jpg;a table with a laptop and a table cloth          ;a table with a tablecloth and a laptop;laptop
images/131.jpg;a kitchen with a large window and a large counter;a kitchen with a large counter and window;counter
images/132.jpg;a kitchen with a large window and a large counter top;a kitchen with a large counter and window;window
images/134.jpg;a room with a shelf and a wall with a rug        ;a room with a rug and a wall featuring a shelf;shelf
images/135.jpg;a room with a table and a window                 ;a room with a window and a table;table
images/136.jpg;a kitchen with a stove, sink, and refrigerator   ;a kitchen with a refrigerator, sink, and stove;refrigerator
images/137.jpg;a room with a wooden floor and a wall with a door ;a room with a door and a wooden floor;door
images/138.jpg;a kitchen with a stove, sink, and cabinets       ;a kitchen with cabinets, sink, and stove;cabinents
images/139.jpg;a kitchen with a stove, sink, and microwave      ;a kitchen with a microwave, sink, and stove;stove
images/140.jpg;a television screen in a room with a snow covered wall;a television screen in a room with a wall covered in snow;television
images/141.jpg;a kitchen with a stove, microwave, and refrigerator;a kitchen with a refrigerator, microwave, and stove;microwave
images/142.jpg;a large bathroom with a large window and a large tub;a spacious bathroom with a large tub and window;tub
images/143.jpg;a room with a large mirror and a large window    ;a room with a sizable mirror and window;window
images/144.jpg;a room with a chair, a table and a window        ;a room with a window, table, and chair;chair
images/145.jpg;a room with a mirror and a wall with a light     ;a room with a light-illuminated wall and a mirror;mirror
images/148.jpg;a kitchen with a chair and a table               ;a kitchen with a table and chair;table
images/149.jpg;a kitchen with a stove, sink, and cabinets       ;a kitchen with cabinets, sink, and stove;stove
images/150.jpg;a bathroom with a sink, a mirror, and a large window;a bathroom with a large window, sink, and mirror;sink


